barcode,1E,1F5,1OD,1OP,1SD,1SM,1SP,2E,2F5,2OD,2OP,2SD,2SM,2SP,3E,3F5,3OD,3OP,3SD,3SM,3SP,4E,4F5,4OD,4OP,4SD,4SM,4SP,5E,5F5,5OD,5OP,5SD,5SM,5SP
"Cluster_7397,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,17,0,0
"Cluster_5885,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_15590,contig_0 consensus mapping",145,131,80,74,0,1,1,1439,4861,5288,2940,20597,1681,5227,1,2,1,6,10,0,0,3,4,5,93,8,3,0,3,8,0,18,17,12,0
"Cluster_5221,contig_0 consensus mapping",130,67,70,26,0,1,0,7395,4205,5183,16398,4076,2475,5609,1,0,1,4,2,0,0,4,1,3,110,0,28,0,0,16,1,14,12,11,0
"Cluster_10375,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,6,0,0
"Cluster_14611,contig_0 consensus mapping",623,478,475,399,0,14,0,4,19,16,11,62,22,36,30,4,3,4,69,157,6,11,36,7,189,59,25,4,64584,98476,78942,65620,88693,59504,26942
"Cluster_9420,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cluster_14268,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Cluster_7050,contig_0 consensus mapping",216,111,272,150,0,2,0,7928,7205,7267,19409,10667,3237,18639,3,0,1,1,7,3,0,12,1,4,105,54,2,0,2,1,2,13,30,32,0
"Cluster_6917,contig_0 consensus mapping",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_13137,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_142,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0
"Cluster_10769,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_1171,contig_0 consensus mapping",3,1,7,2,0,0,0,1016,148,92,2613,0,0,240,0,0,0,0,0,0,1,0,0,0,4,0,30,0,0,0,0,0,0,0,0
"Cluster_1330,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"Cluster_7854,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4496,contig_0 consensus mapping",96,49,74,59,1,0,0,7427,3219,3174,12953,7501,1432,2559,3,1,1,5,2,1,0,9,0,2,44,7,1,0,2,2,0,5,2,9,0
"Cluster_3284,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12255,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9844,contig_0 consensus mapping",115,94,81,59,0,0,0,11643,4605,4297,22064,12712,3282,1740,2,0,1,4,4,1,0,24,0,2,83,0,1,0,15,2,1,13,11,4,0
"Cluster_138,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Cluster_11895,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Cluster_6601,contig_0 consensus mapping",57,50,72,27,0,1,0,652,2376,2874,1341,955,277,2493,0,0,1,2,1,0,0,0,0,1,44,5,0,0,0,3,0,5,2,11,0
"Cluster_1677,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9292,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Cluster_9753,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Cluster_3809,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12938,contig_0 consensus mapping",5,3,1,1,0,0,0,313,22,4,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_15064,contig_0 consensus mapping",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0
"Cluster_2297,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Cluster_14475,contig_0 consensus mapping",1,2,0,3,0,0,0,1164,62,28,3178,250,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Cluster_4370,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cluster_5419,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7637,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_14323,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cluster_2585,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cluster_8580,contig_0 consensus mapping",26,16,18,19,0,0,0,1300,1853,2125,2773,1152,662,2896,0,0,0,0,0,1,0,2,11,4,33,10,0,0,0,7,0,3,1,5,0
"Cluster_6975,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"Cluster_2678,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_10227,contig_0 consensus mapping",2905,1890,2408,1396,0,5,0,7,11,3,70,6,18,9,4,5,4,20,1,13,4,17201,17815,21574,16397,115409,45814,2,5,15,1,9,19,10,1
"Cluster_15751,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_5642,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
"Cluster_6296,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0
